code,desc,period,value_usd
710499,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202606,3821688.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202501,72278807.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202502,84370422.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202503,115296801.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202504,90485764.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202505,38647064.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202506,34576572.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202507,71942091.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202508,54424124.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202509,8687155.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202510,11310703.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202511,9339523.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202512,10170244.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202601,7547705.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202602,22377512.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202603,24555340.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202604,22691114.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202605,29734900.0
7104,"Stones; synthetic or reconstructed precious or semi-precious, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",202606,24265849.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202501,458612.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202502,601600.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202503,833950.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202504,820411.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202505,506605.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202506,476179.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202507,701994.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202508,327201.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202509,622398.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202510,534022.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202511,391789.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202512,357420.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202601,364851.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202602,241185.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202603,385050.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202604,368704.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202605,232273.0
710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",202606,453477.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202501,70582.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202502,89687.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202503,66007.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202504,86031.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202505,69878.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202506,101628.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202507,83047.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202508,42804.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202509,42136.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202510,17028.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202511,38515.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202512,52402.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202601,66195.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202602,5667.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202603,162357.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202604,87558.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202605,65054.0
710429,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, unworked or simply sawn or roughly shaped",202606,78138.0
