keyword;volume;cpc;competition;trend;intent
cushion cut diamond;22200;1.39;1;0.67,0.67,1.00,0.67,0.67,0.67,0.67,0.44,0.44,0.44,0.54,0.67;1,0
emerald cut diamond;14800;1.7;1;0.66,0.54,0.66,0.66,1.00,0.66,0.81,0.66,0.54,0.54,0.54,0.66;1,0
pear cut diamond;2900;1.88;1;0.36,0.36,0.36,0.36,0.54,0.28,0.43,0.54,0.43,0.43,0.43,0.43;1,0
marquise cut diamond;6600;1.83;1;0.54,0.66,0.66,0.66,0.81,1.00,1.00,0.81,0.54,0.66,0.81,1.00;1,0
princess cut diamond;27100;1.21;1;0.54,0.66,0.81,0.66,0.66,0.81,0.81,0.66,0.54,0.54,0.66,0.66;1,0
radiant cut diamond;22200;1.66;1;0.44,0.54,0.66,0.54,0.54,0.54,0.54,0.54,0.44,0.44,0.44,0.44;1,0
asscher cut diamond;12100;1.31;1;0.19,0.29,0.29,0.29,0.24,0.29,0.29,1.00,0.36,0.29,0.44,0.29;1
heart cut diamond;320;1.88;1;0.43,0.54,0.81,0.66,0.54,0.66,0.66,1.00,0.54,0.66,0.54,0.66;1
elongated cushion diamond;720;2.02;1;0.72,0.59,1.00,0.88,0.72,0.72,0.88,1.00,0.59,0.72,0.72,0.72;1
hexagon cut diamond;320;1.53;1;0.66,0.66,0.66,0.81,0.81,0.81,0.66,0.81,0.81,0.54,0.66,0.81;1,0
hexagonal diamond;720;1.84;1;0.45,0.36,0.62,0.45,0.45,0.45,0.45,0.36,0.36,1.00,0.62,0.55;0
elongated hexagon diamond;590;1.94;1;0.59,0.32,0.72,0.72,0.59,0.59,0.59,0.72,0.48,0.59,0.59,0.72;0
dutch marquise diamond;6600;1.85;1;0.24,0.36,0.36,0.29,0.24,0.29,0.54,1.00,0.44,0.54,0.54,0.66;1
dutch marquise;3600;2.06;1;0.12,0.23,0.23,0.29,0.23,0.23,0.44,0.81,0.54,0.81,0.81,1.00;1,0
kite cut diamond;590;1.91;1;0.54,0.67,0.81,0.67,0.81,0.67,0.81,0.81,1.00,0.54,0.67,0.81;1,0
trillion cut diamond;1600;1.12;1;0.34,0.44,0.55,0.44,0.55,0.65,0.55,0.55,0.55,0.55,0.44,0.55;1,0
baguette diamond;8100;1.4;1;0.29,0.29,0.29,0.24,0.24,0.24,0.29,0.24,0.19,0.24,0.24,0.24;1,0
old mine cut diamond;14800;1.02;1;0.04,0.05,1.00,0.16,0.16,0.10,0.08,0.16,0.08,0.10,0.10,0.10;1,0
old european cut diamond;2400;0.75;1;0.65,0.82,1.00,0.65,0.65,0.65,1.00,1.00,0.65,0.82,0.65,0.65;1,0
moval diamond;1900;2.11;1;0.29,1.00,0.54,0.29,0.29,0.43,0.43,0.29,0.36,0.65,0.65,0.65;1
elongated radiant diamond;70;2.09;1;0.17,0.17,0.23,0.23,0.28,0.23,0.17,0.17,0.12,0.17,0.17,0.17;1
rose cut diamond;5400;0.64;1;0.36,0.44,0.54,0.44,0.54,0.44,0.44,0.54,0.29,0.36,0.36,0.36;1,0
lab grown dutch marquise;20;1.91;1;0.00,1.00,1.00,1.00,1.00,1.00;
lab grown hexagon diamond;20;1.47;0.99;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;
lab grown oval diamond;320;2.98;0.45;0.26,0.26,0.32,0.32,0.32,0.39,0.32,0.39,0.39,0.32,0.21,0.32;0
lab grown emerald cut diamond;720;2.14;1;0.81,1.00,1.00,1.00,0.81,0.67,0.67,0.67,0.81,0.67,0.54,0.54;1,0
lab grown round diamond;90;2.35;0.92;0.64,0.23,0.64,0.41,0.41,0.29,0.11,0.64,0.64,0.64,1.00,0.41;0
